date,dem_avg,rep_avg,margin,Timestamp (UTC),Donald Trump,Kamala Harris
2024-10-19,48.6,46.6,1.9,1729296002,0.5995,0.4005
2024-10-20,48.6,46.6,1.9,1729382402,0.6005,0.3985
2024-10-21,48.4,46.5,1.9,1729468802,0.6065,0.3925
2024-10-22,48.4,46.5,1.9,1729555202,0.649,0.3515
2024-10-23,48.3,46.7,1.7,1729641602,0.6475,0.3515
2024-10-24,48.4,46.6,1.7,1729728003,0.6155,0.3845
2024-10-25,48.5,46.8,1.7,1729814403,0.641,0.3605
2024-10-26,48.5,46.8,1.7,1729900803,0.6385,0.3605
2024-10-27,48.5,46.8,1.7,1729987203,0.6455,0.353
2024-10-28,48.5,46.8,1.7,1730073603,0.6495,0.3485
2024-10-29,48.4,46.9,1.5,1730160002,0.6585,0.3415
2024-10-30,48.4,46.9,1.5,1730246403,0.6655,0.3345
2024-10-31,48.4,47.0,1.4,1730332803,0.6475,0.352
2024-11-01,48.4,47.0,1.4,1730419203,0.6325,0.368
2024-11-02,48.4,47.0,1.4,1730505603,0.5825,0.4185
2024-11-03,48.4,47.0,1.4,1730592003,0.5585,0.4415
2024-11-04,48.4,47.0,1.4,1730678403,0.5635,0.435
